#TLB experiment
#  page size = 64 bytes
#  max number of pages = 4096
#  total number or references = 1 Mi
#pages	 proc	 wall	 sum
1	 0.0074	 1073152
2	 0.0050	 1073152
3	 0.0040	 1073151
4	 0.0046	 1073152
5	 0.0041	 1073150
6	 0.0029	 1073148
7	 0.0024	 1073149
8	 0.0024	 1073152
9	 0.0031	 1073151
10	 0.0072	 1073150
11	 0.0091	 1073149
12	 0.0040	 1073148
13	 0.0043	 1073150
14	 0.0021	 1073142
15	 0.0021	 1073145
16	 0.0021	 1073152
17	 0.0020	 1073142
18	 0.0015	 1073142
19	 0.0015	 1073139
20	 0.0012	 1073140
21	 0.0010	 1073142
22	 0.0021	 1073138
23	 0.0013	 1073134
24	 0.0012	 1073136
25	 0.0012	 1073150
26	 0.0013	 1073150
27	 0.0012	 1073142
28	 0.0013	 1073128
29	 0.0013	 1073145
30	 0.0012	 1073130
31	 0.0011	 1073127
32	 0.0006	 1073152
33	 0.0006	 1073127
34	 0.0006	 1073142
35	 0.0010	 1073135
36	 0.0005	 1073124
37	 0.0005	 1073148
38	 0.0006	 1073120
39	 0.0008	 1073124
40	 0.0011	 1073120
41	 0.0005	 1073134
42	 0.0011	 1073142
43	 0.0008	 1073151
44	 0.0012	 1073116
45	 0.0009	 1073115
46	 0.0008	 1073134
47	 0.0008	 1073151
48	 0.0008	 1073136
49	 0.0008	 1073149
50	 0.0007	 1073150
51	 0.0006	 1073142
52	 0.0005	 1073124
53	 0.0007	 1073144
54	 0.0012	 1073142
55	 0.0006	 1073105
56	 0.0004	 1073128
57	 0.0005	 1073139
58	 0.0005	 1073116
59	 0.0004	 1073151
60	 0.0005	 1073100
61	 0.0005	 1073112
62	 0.0004	 1073096
63	 0.0005	 1073142
64	 0.0004	 1073152
65	 0.0005	 1073150
66	 0.0005	 1073094
67	 0.0005	 1073139
68	 0.0005	 1073108
69	 0.0004	 1073088
70	 0.0005	 1073100
71	 0.0005	 1073094
72	 0.0004	 1073088
73	 0.0006	 1073100
74	 0.0005	 1073148
75	 0.0007	 1073100
76	 0.0006	 1073120
77	 0.0007	 1073149
78	 0.0006	 1073124
79	 0.0007	 1073136
80	 0.0011	 1073120
81	 0.0008	 1073088
82	 0.0009	 1073134
83	 0.0007	 1073107
84	 0.0007	 1073100
85	 0.0008	 1073125
86	 0.0007	 1073108
