150	54
160	45
170	51
180	62
190	61
200	64
210	73
220	79
230	85
240	96
250	95
260	102
270	106
280	110
290	124
300	113
310	136
320	137
330	145
340	158
350	157
360	177
370	165
380	190
390	187
400	186
410	211
420	196
430	203
440	232
450	257
460	250
470	255
480	246
490	255
500	263
510	279
520	280
530	294
540	282
550	290
560	295
570	301
580	328
590	324
600	333
610	348
620	351
630	360
640	371
650	381
660	388
670	386
680	395
690	383
700	416
710	413
720	419
730	427
740	435
750	420
760	434
770	448
780	449
790	471
800	488
810	485
820	493
830	488
840	489
850	520
860	518
870	537
880	544
890	537
900	551
910	552
920	564
930	558
940	589
950	596
960	582
970	600
980	617
990	621
