excec memoryUsed freeBlocks rounds avgsize
1.0 53816 27 229 1993
1.0 53752 28 230 1920
1.0 53704 29 231 1852
1.0 53768 29 232 1854
1.0 53704 29 233 1852
0.0 53608 29 234 1849
1.0 53624 29 235 1849
0.0 53616 29 236 1849
1.0 53464 29 237 1844
1.0 53432 30 238 1781
1.0 53464 31 239 1725
1.0 53464 31 240 1725
1.0 53520 31 241 1726
1.0 53424 31 242 1723
0.0 53400 32 243 1669
1.0 53320 32 244 1666
1.0 53280 33 245 1615
0.0 53264 32 246 1664
1.0 53168 32 247 1662
1.0 53168 32 248 1662
1.0 53104 32 249 1660
0.0 53176 32 250 1662
1.0 53088 31 251 1713
1.0 53088 31 252 1713
0.0 53024 30 253 1767
1.0 53024 30 254 1767
0.0 53080 31 255 1712
1.0 53152 31 256 1715
0.0 53152 31 257 1715
1.0 53056 30 258 1769
0.0 52936 29 259 1825
1.0 52904 29 260 1824
1.0 52800 28 261 1886
1.0 52816 28 262 1886
1.0 52752 28 263 1884
0.0 52752 28 264 1884
1.0 52664 28 265 1881
0.0 52624 29 266 1815
1.0 52496 30 267 1750
0.0 52568 31 268 1696
1.0 52488 31 269 1693
0.0 52304 31 270 1687
1.0 52184 31 271 1683
1.0 52152 32 272 1630
1.0 51984 32 273 1624
1.0 51984 32 274 1624
1.0 51936 33 275 1574
1.0 51784 33 276 1569
4.0 51680 33 277 1566
1.0 51616 34 278 1518
1.0 51552 34 279 1516
1.0 51440 34 280 1513
1.0 51472 35 281 1471
1.0 51288 35 282 1465
1.0 51368 36 283 1427
0.0 51376 36 284 1427
1.0 51368 37 285 1388
0.0 51464 38 286 1354
1.0 51576 37 287 1394
1.0 51512 37 288 1392
1.0 51432 37 289 1390
1.0 51264 37 290 1386
1.0 51264 37 291 1386
1.0 51264 37 292 1386
1.0 51304 38 293 1350
1.0 51304 38 294 1350
1.0 51232 37 295 1385
1.0 51144 37 296 1382
0.0 51224 38 297 1348
1.0 51312 39 298 1316
1.0 51280 40 299 1282
0.0 51296 40 300 1282
1.0 51400 41 301 1254
1.0 51440 42 302 1225
1.0 51440 43 303 1196
1.0 51480 43 304 1197
0.0 51440 43 305 1196
