100	18
110	26
120	37
130	41
140	37
150	40
160	48
170	52
180	55
190	61
200	68
210	75
220	74
230	88
240	83
250	101
260	100
270	95
280	108
290	120
300	123
310	127
320	133
330	143
340	142
350	151
360	166
370	145
380	167
390	159
400	181
410	191
420	197
430	185
440	203
450	204
460	222
470	217
480	243
490	220
500	237
510	236
520	255
530	236
540	269
550	222
560	248
570	269
580	274
590	296
600	294
610	310
620	291
630	323
640	331
650	321
660	325
670	347
680	344
690	322
700	342
710	348
720	368
730	372
740	372
750	389
760	375
770	385
780	401
790	423
800	417
810	426
820	434
830	445
840	434
850	421
860	424
870	464
880	466
890	484
900	496
910	489
920	459
930	496
940	491
950	499
960	521
970	502
980	550
990	526
