excec memoryUsed freeBlocks rounds avgsize
0.0 53608 102 234 526
1.0 53640 103 235 521
1.0 53632 104 236 516
1.0 53480 104 237 514
1.0 53440 105 238 509
0.0 53472 106 239 504
1.0 53472 107 240 500
1.0 53528 108 241 496
1.0 53432 108 242 495
1.0 53408 109 243 490
1.0 53344 110 244 485
1.0 53304 111 245 480
1.0 53288 112 246 476
1.0 53192 113 247 471
1.0 53192 113 248 471
3.0 53128 113 249 470
1.0 53200 114 250 467
0.0 53112 115 251 462
1.0 53112 116 252 458
1.0 53072 117 253 454
0.0 53072 117 254 454
1.0 53128 118 255 450
1.0 53216 119 256 447
1.0 53216 119 257 447
1.0 53136 120 258 443
0.0 53040 120 259 442
1.0 53016 121 260 438
1.0 52920 122 261 434
0.0 52920 122 262 434
1.0 52856 122 263 433
1.0 52856 123 264 430
0.0 52768 123 265 429
1.0 52728 124 266 425
1.0 52600 125 267 421
1.0 52672 126 268 418
0.0 52592 126 269 417
1.0 52408 126 270 416
1.0 52288 126 271 415
0.0 52272 127 272 412
1.0 52104 127 273 410
1.0 52104 127 274 410
1.0 52056 128 275 407
0.0 51904 128 276 406
1.0 51800 128 277 405
1.0 51736 129 278 401
1.0 51672 129 279 401
1.0 51560 129 280 400
1.0 51592 130 281 397
0.0 51408 130 282 395
0.0 51480 131 283 393
0.0 51480 131 284 393
1.0 51472 132 285 390
1.0 51560 133 286 388
1.0 51672 134 287 386
1.0 51608 134 288 385
1.0 51520 133 289 387
1.0 51352 133 290 386
1.0 51352 133 291 386
1.0 51352 133 292 386
1.0 51392 134 293 384
0.0 51392 135 294 381
1.0 51328 136 295 377
1.0 51240 137 296 374
1.0 51320 138 297 372
0.0 51408 139 298 370
1.0 51376 140 299 367
0.0 51376 140 300 367
0.0 51480 141 301 365
0.0 51480 141 302 365
0.0 51480 142 303 363
1.0 51520 143 304 360
7.0 51488 144 305 358
1.0 51528 145 306 355
0.0 51528 145 307 355
0.0 51464 145 308 355
1.0 51272 145 309 354
1.0 51384 146 310 352
1.0 51336 147 311 349
1.0 51320 148 312 347
1.0 51248 149 313 344
1.0 51344 150 314 342
2.0 51424 151 315 341
1.0 51416 151 316 341
1.0 51320 150 317 342
2.0 51320 150 318 342
2.0 51424 151 319 341
1.0 51320 152 320 338
1.0 51360 153 321 336
1.0 51224 153 322 335
1.0 51216 154 323 333
1.0 51128 154 324 332
0.0 51128 155 325 330
1.0 51192 156 326 328
1.0 51264 157 327 327
1.0 51384 158 328 325
1.0 51328 159 329 323
1.0 51256 160 330 320
1.0 51288 161 331 319
1.0 51288 161 332 319
2.0 51248 162 333 316
0.0 51248 162 334 316
1.0 51216 163 335 314
1.0 51256 164 336 313
0.0 51256 165 337 311
1.0 51296 166 338 309
0.0 51368 167 339 308
1.0 51448 168 340 306
1.0 51384 169 341 304
1.0 51384 169 342 304
1.0 51376 170 343 302
1.0 51272 171 344 300
1.0 51304 172 345 298
1.0 51304 172 346 298
1.0 51304 172 347 298
1.0 51384 173 348 297
1.0 51344 174 349 295
1.0 51344 175 350 293
1.0 51344 176 351 292
1.0 51344 176 352 292
1.0 51344 177 353 290
1.0 51392 178 354 289
1.0 51472 179 355 288
1.0 51472 180 356 286
1.0 51464 181 357 284
1.0 51384 181 358 284
1.0 51464 182 359 283
0.0 51504 183 360 281
1.0 51488 183 361 281
1.0 51456 184 362 280
1.0 51568 185 363 279
1.0 51568 186 364 277
1.0 51504 186 365 277
1.0 51504 186 366 277
1.0 51504 186 367 277
1.0 51408 187 368 275
1.0 51504 188 369 274
1.0 51544 189 370 273
1.0 51480 190 371 271
0.0 51432 191 372 269
1.0 51408 192 373 268
1.0 51408 192 374 268
1.0 51504 193 375 267
1.0 51392 193 376 266
3.0 51320 194 377 265
1.0 51416 195 378 264
1.0 51256 195 379 263
1.0 51288 196 380 262
2.0 51256 197 381 260
1.0 51208 198 382 259
2.0 51136 199 383 257
