excec memoryUsed freeBlocks rounds avgsize
4.0 56392 34 232 1659
4.0 56352 34 233 1657
4.0 56280 34 234 1655
6.0 56296 34 235 1656
4.0 56272 34 236 1655
5.0 56144 34 237 1651
4.0 56104 35 238 1603
5.0 56136 35 239 1604
5.0 56136 35 240 1604
6.0 56192 35 241 1605
4.0 56120 35 242 1603
4.0 56096 36 243 1558
5.0 56016 37 244 1514
4.0 55976 38 245 1473
5.0 55960 37 246 1512
4.0 55864 37 247 1510
5.0 55888 37 248 1510
4.0 55848 37 249 1509
4.0 55920 37 250 1511
4.0 55832 36 251 1551
4.0 55832 37 252 1509
5.0 55792 36 253 1550
4.0 55816 37 254 1509
4.0 55872 38 255 1470
4.0 55944 38 256 1472
5.0 55928 39 257 1434
5.0 55832 38 258 1469
4.0 55760 38 259 1467
4.0 55728 37 260 1506
6.0 55632 38 261 1464
5.0 55624 38 262 1464
4.0 55584 38 263 1463
4.0 55584 38 264 1463
4.0 55520 38 265 1461
4.0 55352 40 267 1384
4.0 55424 40 268 1386
5.0 55368 40 269 1384
5.0 55208 40 270 1380
5.0 55112 40 271 1378
5.0 55080 41 272 1343
4.0 54936 41 273 1340
4.0 54960 42 274 1309
5.0 54912 41 275 1339
4.0 54784 41 276 1336
4.0 54704 41 277 1334
4.0 54640 40 278 1366
4.0 54600 40 279 1365
4.0 54512 40 280 1363
5.0 54544 41 281 1330
4.0 54384 41 282 1326
5.0 54456 41 283 1328
4.0 54464 41 284 1328
5.0 54448 41 285 1328
4.0 54536 42 286 1298
5.0 54648 43 287 1271
4.0 54608 43 288 1270
4.0 54536 42 289 1298
5.0 54392 42 290 1295
5.0 54416 43 291 1265
4.0 54416 43 292 1265
4.0 54456 44 293 1238
5.0 54456 45 294 1210
4.0 54400 46 295 1183
4.0 54312 46 296 1181
5.0 54392 47 297 1157
4.0 54480 48 298 1135
5.0 54448 49 299 1111
5.0 54440 48 300 1134
4.0 54544 49 301 1113
4.0 54560 49 302 1113
5.0 54560 50 303 1091
4.0 54600 50 304 1092
5.0 54576 51 305 1070
4.0 54576 51 306 1070
4.0 54560 52 307 1049
4.0 54520 52 308 1048
4.0 54352 52 309 1045
4.0 54464 52 310 1047
5.0 54416 52 311 1046
4.0 54400 52 312 1046
5.0 54344 53 313 1025
4.0 54424 53 314 1027
5.0 54504 53 315 1028
4.0 54504 53 316 1028
4.0 54456 53 317 1027
4.0 54464 53 318 1028
4.0 54568 53 319 1030
5.0 54464 53 320 1028
4.0 54504 53 321 1028
5.0 54392 53 322 1026
4.0 54392 54 323 1007
5.0 54328 54 324 1006
5.0 54328 55 325 988
4.0 54392 56 326 971
4.0 54464 57 327 956
5.0 54584 58 328 941
5.0 54520 57 329 956
4.0 54448 56 330 972
4.0 54472 55 331 990
5.0 54488 55 332 991
4.0 54448 56 333 972
4.0 54464 56 334 973
5.0 54424 56 335 972
4.0 54464 56 336 973
4.0 54464 56 337 973
1.0 54504 56 338 973
5.0 54576 56 339 975
4.0 54640 55 340 993
5.0 54576 56 341 975
6.0 54576 56 342 975
4.0 54568 57 343 957
4.0 54464 58 344 939
4.0 54496 59 345 924
4.0 54520 60 346 909
5.0 54536 60 347 909
4.0 54624 60 348 910
5.0 54584 60 349 910
6.0 54584 60 350 910
5.0 54584 60 351 910
5.0 54584 60 352 910
4.0 54584 60 353 910
4.0 54632 60 354 911
5.0 54712 60 355 912
4.0 54720 59 356 927
4.0 54696 59 357 927
4.0 54640 59 358 926
5.0 54720 60 359 912
5.0 54744 60 360 912
5.0 54744 59 361 928
4.0 54712 58 362 943
5.0 54824 58 363 945
5.0 54824 59 364 929
4.0 54784 59 365 929
4.0 54792 59 366 929
4.0 54792 59 367 929
4.0 54696 59 368 927
4.0 54792 59 369 929
4.0 54832 58 370 945
5.0 54768 58 371 944
5.0 54728 59 372 928
4.0 54704 59 373 927
5.0 54728 60 374 912
5.0 54824 61 375 899
4.0 54728 60 376 912
6.0 54632 59 377 926
4.0 54728 59 378 928
5.0 54592 59 379 925
4.0 54592 59 380 925
5.0 54576 59 381 925
6.0 54528 58 382 940
5.0 54456 59 383 923
6.0 54352 58 384 937
5.0 54304 58 385 936
4.0 54352 58 386 937
5.0 54352 58 387 937
5.0 54408 59 388 922
4.0 54472 60 389 908
4.0 54456 60 390 908
4.0 54472 59 391 923
5.0 54432 58 392 938
4.0 54480 59 393 923
4.0 54600 58 394 941
5.0 54584 58 395 941
5.0 54608 58 396 942
5.0 54608 58 397 942
4.0 54624 58 398 942
5.0 54512 58 399 940
5.0 54520 58 400 940
4.0 54600 58 401 941
5.0 54472 59 402 923
5.0 54472 59 403 923
5.0 54536 59 404 924
4.0 54568 59 405 925
4.0 54496 59 406 924
5.0 54424 59 407 922
5.0 54392 60 408 907
4.0 54376 60 409 906
5.0 54440 60 410 907
5.0 54464 60 411 908
5.0 54560 60 412 909
6.0 54416 60 414 907
5.0 54360 59 415 921
5.0 54320 59 416 921
4.0 54336 58 417 937
5.0 54320 59 418 921
4.0 54328 59 419 921
6.0 54208 58 420 935
5.0 54256 58 421 935
5.0 54240 58 422 935
7.0 54336 58 423 937
5.0 54344 57 424 953
6.0 54344 57 425 953
5.0 54232 59 428 919
